,Username,Ciudad,Departamento,Pais,Título,Pregunta,Propuesta,Descripción,Votos a favor
495,Carlos Echavarría,Bogotá,no hay registro,Colombia,¿Qué programa desarrollarías para que los jóvenes se interesen en el deporte?,¿Qué programa desarrollarías para que los jóvenes se interesen en el deporte?,financiación profesional de deportistas,"la propuesta es la creación de un ente -no politico- que financie diferentes modalidades deportivas en el país para niños y jóvenes no solo como actividad lúdica, sino como profesionalización de atletas. esta financiación tiene un componente publico (inversión inicial) y uno privado (futuro). el público hace referencia al inicio de este programa, y el privado hace referencia a los atletas que logren reconocimiento nacional e internacional. aquí la parte clave es que quienes logren unos ingresos (ej. 50 salarios mínimos por todo concepto: deportivos-imagen-patrocinios-marca) contribuyan con un % de sus ganancias al programa como retribución al programa y mantenerlo vigente",3
513,Carlos Mario Ospina,Medellín,Antioquia,Colombia,¿Qué procesos consideras importante agilizar a través de la tecnología?,¿Qué procesos consideras importante agilizar a través de la tecnología?,creación del ministerio de turismo,"colombia es una potencia en turismo cada día llegan más personas. pero nuestros ciudadanos, entidades, empresas no están bien preparadas ni hay políticas en pro del turismo. pienso que deberíamos de enfocarnos en que la industria sin chimeneas sean uno de nuestros motores de crecimiento. con la creación del nuevo ministerio nos preparamos para ser un gran transformador de esta gran industria. cómo espana, italia, francia o hong kong se han vuelto grandes receptores de turismo en todos sus ejes sea de negocios, de convenciones, sea de aventura, sea de descanso, etc",3
540,Catalina Andrade,Bogotá,Bogota D.C.,Colombia,¿De qué forma fortalecerías la inversión en educación por parte del Gobierno?,¿De qué forma fortalecerías la inversión en educación por parte del Gobierno?,"menos corrupción, más educación","los recursos que se sobreasignan a sectores del estado que no son necesarios le cuestan al país miles de millones al año. uno de los primeros recortes de presupuesto público debe ser el que absurdamente se entrega a los diversos sectores burocráticos del país. existen múltiples cargos públicos con dineros asignados que resultan ser una carga económica y que bien podría ser asignada para la educación. los altos salarios que se pagan a los funcionarios públicos, los gastos del estado en seguridad, viáticos, asignación de vehículos, etc deben detenerse tomar estos recursos para ser encaminados a financiar el sector educación.",3
546,Ceferino Martinez,Bogotá,Bogota D.C.,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,concientizar a las personas en una buena dieta alimentaria,"crear conciencia que debemos alimentarnos con buena calidad y no dañarnos nuestra salud. frutas,verduras y granos cero grasa cero azucares no consumir mucha comida chatarra contaminada.",3
555,Cesar Vargas Garz``Ón,San Joaquin,Huila,Colombia,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,¿Cómo garantizar un envejecimiento activo e independiente para el adulto mayor?,"centro geriátrico ""5 estrellas"" en san antonio-neiva, huila.","un centro geriátrico que atienda a adultos mayores  con régimen contributivo y adultos mayores subsidiados. se establecen tarifas adecuadas para los estratos altos y se subsidiar´´a a los no pudientes certificados previamente. ya existe un terreno en el centro poblado propiedad de la curia, quien estará dispuesta a cederlo para la construcción del centro. se buscaría ayuda internacioal para su construcción y equipamiento necesario. el estado deberá contribuir con recursos de la salud para ello. sería administrado   privadamente como fundación.",3
566,Clara Yaneth Monroy Arevalo,Pereira,Risaralda,Colombia, ¿Cómo podemos promover la educación inclusiva en nuestro país?, ¿Cómo podemos promover la educación inclusiva en nuestro país?,cumple con tus deberes para que exijas tus derechos,"realizar en material reciclado un libro  con  los deberes y derechos   estipulados en el código de policía y el código de infancia y adolescencia, dirigido a  niños, niñas, adolescentes, padres de familia, instituciones del estado para que nos concieniticemos  de  los deberes que tenemos para que  podamos exigir nuestros derechos  con el apoyo de todas las entidades del estado icbf la policía las entidades municipales padres de familia  y comunidad en general. tengo el libro en material reciclado",3
568,Clara Yaneth Monroy Arevalo,Pereira,Risaralda,Colombia,¿Cómo erradicarías la pobreza en Colombia?,¿Cómo erradicarías la pobreza en Colombia?,cuéntame  tus  habilidades,"haría na convocatoria a nivel nacional por municipios, barrios, veredas corregimientos buscando que es lo que saben hacer ejemplo tejer, bordar, trabajar la madera etc, e impulsaría pequeñas empresas satélites desde casa dirigidas por las juntas de acción comunal, asociaciones comunitarias, juntas de vivienda comunitaria para lograr que cada una pueda crear un proyecto, capacitar  su comunidad y abrir un mercado que permita mejorar la calidad de vida de todos los habitantes ya que aquí se involucraría jóvenes, adultos, adultos mayores y se aprovecharía  los conocimientos  de  las personas de mas experiencia.",3
570,Clara Yaneth Monroy Arevalo,Pereira,Risaralda,Colombia,¿De qué forma fortalecerías la inversión en educación por parte del Gobierno?,¿De qué forma fortalecerías la inversión en educación por parte del Gobierno?,la educación ideal,"revisaría el estado actual de todas  las instituciones educativas del país  y las  dotaría con las ultimas tecnologías, útiles  escolares de acuerdo a sus necesidades , prevaleciendo su cultura, además  que las  más retiradas y abandonadas por el estado  serian la prioridad  numero uno;  brindaría  los medios  necesarios  para que  los alumnos  y docentes  no desercionen por no tener transporte  para recibir  sus conocimientos. haría  campaña  para que as grandes empresas aporten  con los kitts escolares en pro de esta causa. y los padres de familia serían los veedores   de estos programas.",3
588,Confecoop,Medellín,Antioquia,Colombia, ¿Cómo podemos promover la educación inclusiva en nuestro país?, ¿Cómo podemos promover la educación inclusiva en nuestro país?,política pública para promover y fortalecer la economía cooperativa y solidaria,"proteger la figura cooperativa como mecanismo de creación de trabajo digno y sostenible. no debe estigmatizarse la intermediación laboral, lo que debe es prohibirse cualquier mecanismo que vulnere los derechos de los trabajadores.
establecer el marco normativo que estimule la creación de cooperativas prestadoras de servicios sociales, como un mecanismo de formalización empresarial y laboral y como alternativa de inserción económica (primer trabajo, emprendimiento), a través de la creación y mantenimiento de puestos de trabajo estable, digno y sostenible.
estimular los programas de inclusión social, económica y financiera a través de las cooperativas.",3
589,Confecoop,Medellín,Antioquia,Colombia, ¿Cómo podemos promover la educación inclusiva en nuestro país?, ¿Cómo podemos promover la educación inclusiva en nuestro país?,promoción de los programas de educación financiera cooperativa.,"promover los programas de educación económica y financiera cooperativa, como un proceso transversal de formación de las personas, desde la educación formal.
establecer, a través del ministerio de educación nacional, las orientaciones pedagógicas para que las instituciones educativas incluyan en sus pei la promoción y formación en el modelo empresarial cooperativo. igualmente, trazar los lineamientos para la formación y capacitación del personal docente, para la implementación de estas iniciativas.",3
602,Consuelo Rendón,Buga,Valle del Cauca,Colombia,¿Cuál sería la mejor estrategia para reintegrar a quienes han dejado las armas?,¿Crees que los reinsertados podrían tener una fácil transición a la vida civil en programas de Economía Naranja?,exprese su sentir escribiendo,"las personas tienen su existencia enfocada en el tener y muy poco en el desarrollo del ser. en esa búsqueda por solucionar todas las situaciones de la vida, y principalmente las que tienen que ver con sus necesidades básicas como: techo, alimento y salud, ante la falta de oportunidades y el escaso acceso a la lectura y el poco desarrollo de la escritura, eligen vías poco convencionales para  resolver sus problemas. quien lee viaja en su imaginación a mundos insospechados, conoce otras culturas, formas de pensamiento, a la vez que le sirve de motivación para plasmar entre líneas todo ese sentir que forma parte de su cotidianidad y no vivir atragantados en un silencio de dolor y resentimiento.",3
604,Corporación Gestión Social,Bucaramanga,Santander,Colombia, ¿Cómo podemos promover la educación inclusiva en nuestro país?, ¿Cómo podemos promover la educación inclusiva en nuestro país?,brillantes capacidades,"la inclusión a niños con discapacidad se debe hacer desde la explotación de sus capacidades , para hacerlos partícipes de la comunidad educativa , de tal forma que los niños tengan espacios donde en conjunto con los demás niños logren desarrollar habilidades , como el canto , la música y el arte que genere vínculos de hermandad y de convivencia , una vez unidos en torno de un arte los demás niños sentirán admiración y aprenderán a convivir de manera respetuosa y afectuosa con los niños que tienen alguna discapacidad. , en el cual la inclusión sea de una manera no de victimización sino de admiración y respeto .",3
616,Cristianri7,Medellín,Antioquia,Colombia,¿Qué medidas tomarías para mejorar la seguridad en tu barrio?,¿Has sido victima de algún asalto en lo corrido del año?,articulación de las empresas de vigilancia con la fuerza publica,"de acuerdo a los objetivos presentados por la superintendencia de vigilancia y seguridad privada, lo primero que se debe hacer es incrementar la capacidad de cobertura del control, inspección y vigilancia, en cuanto a estructurar nuevas sedes en el que se pueda interactuar y hacer el respectivo seguimiento, lo cual conllevaría al crecimiento de la planta de personal, así se podría atacar la ilegalidad de la prestación del servicio de vigilancia y seguridad privada, de igual forma se daría cumplimiento al numeral 3.4.10 de los acuerdos de paz, celebrados con el gobierno anterior.

como segunda medida seria el articular la vigilancia y seguridad privada con la fuerza publica.",3
618,Cristina_P1126,Medellín,Antioquia,Colombia,"¿Cómo protegemos a los niños de violencia, abuso y explotación?","¿Cómo protegemos a los niños de violencia, abuso y explotación?",prevenir la violencia y el abuso infantil,"primero que todo seria una gran ayuda hacer un seguimiento a los integrantes de las familias ya que así podrían prevenir grandes tragedias, también ayudar a los jóvenes a incentivarlos a cuidarse a la hora de tener relaciones sexuales con preservativos para así reducir el numero de embarazos y  pedir a las autoridades que hagan mas justicia a la hora de tener un caso de violencia o abuso infantil para que así se puedan reducir estas grandes tragedias.",3
623,Damejia89,Medellín,Antioquia,Colombia,¿Qué incentivos darías para que los desechos sean aprovechados por las empresas?,¿Crees que hay una cultura consolidada de sostenibilidad en las empresas?,aprovechamiento de residuos de construcción y demolición - rcd,"estratificar el cobro de los servicios especiales, contratados para la recolección de rcd, en la prestación del servicio público de aseo domiciliario; con lo cual se reduce la disposición inadecuada de estos residuos, generalizada en el territorio (arrojados en cuerpos de agua, terrenos baldíos, vías y áreas públicas).

incentivar los emprendimientos para el procesamiento de escombros limpios, con el fin de reutilizarlos en proyectos constructivos, mediante la exención del impuesto de renta por cinco años; disminución de la presión de la minería extractora de gravas y triturados, además la generación de valor en los residuos susceptibles de aprovechamiento y nueva oferta de empleo.",3
632,Daniel M Riascos,Bogotá,no hay registro,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,ciudadanos responsables por su salud,"una plataforma virtual en la que se lleve un ranking sobre la responsabilidad en el cuidado de nuestra salud, en la que se registre si hemos practicado medicina preventiva como nutrición, deporte, exámenes médicos preventivos, ocupacionales. este ranking serviría de base para posteriormente apoyar programas de vivienda, educación, emprendimiento, etc donde se fomenta el autocuidado y donde el irresponsable no tendría dichos beneficios. es más económico prevenir y más caro financiar todo gratis a irresponsables que no se cuidan a si mismos.",3
633,Daniel Orlando Gutierrez Ramos,Bogotá,Bogota D.C.,Colombia,¿Qué propuesta tienes para mejorar la movilidad en las calles de tu ciudad?,¿Estás satisfecho con el transporte público en tu ciudad?,movilidad inclusiva para p.c.d.,"1. movilidad de las pcd, pues la ley 1618 de 2016, quedo con muchos 
interrogantes y deficiencias posible que las pcd tengan mejores desempeños tanto en su vida 
cotidiana como laboral.
2. se requiere que la ley 1618 tenga la modificación en razón a que no 
sean las secretarías de salud las que realicen la caracterización sino 
que esta información sea migrada al ministerio de salud y que sea el 
runt el que haga el registro de las personas con discapacidad que se 
movilizan en vehículo o tienen un cuidador que las movilicen esto 
teniendo en cuenta que se está acortando el libre derecho a la locomoción por todo el territorio nacional por las personas con 
discapacidad.",3
645,Danielquintero,Santiago de Cali,Valle del Cauca,Colombia,¿Qué propuesta tienes para mejorar la movilidad en las calles de tu ciudad?,¿Estás satisfecho con el transporte público en tu ciudad?,implementación de sistemas de transporte masivo en grandes y medianas ciudades,"desarrollar sistemas de transporte efectivos en nuestras ciudades. apalancar la construcción del metro de bogotá, y pensar en metro en la ciudad de cali, barranquilla, y cartagena. en las otras ciudades pensar en tranvías, o un sistema de transporte realmente efectivo.",3
651,Darioyorley,Braunschweig,Lower Saxony,Germany,¿Cómo fortalecerías el uso de la educación virtual en nuestro país?,¿Cómo fortalecerías el uso de la educación virtual en nuestro país?,programas para educación virtual para padres de familia y lideres comunales,"muchas veces las ventajas de la educación virtual se desaprovechan porque los padres de familia y adultos en general, no conocen las herramientas virtuales. capacitando a padres de familia en dichas herramientas permitiría que ellos orientaran a sus hijos para que a su vez estos aprovechen de mejor manera la tecnología",3
657,Darioyorley,Braunschweig,Lower Saxony,Germany,¿Qué medidas tomarías para mejorar la seguridad en tu barrio?,¿Has sido victima de algún asalto en lo corrido del año?,mayor capacitación para los policias,"muchos policías no siguen los protocolos (si es que los hay) al momento de actuar. los protocolos de actuación deberían ser estandarizados y de fácil aplicación. adicionalmente, los policías deben recibir capacitación continua, especialmente en ética para que muchos de ellos no hagan parte de bandas delincuenciales cuando los permiten actuar y luego se reparten el botín entre todos.",3
659,Darioyorley,Braunschweig,Lower Saxony,Germany,"Además de dinero, ¿Cómo motivarías a que más doctorantes vuelvan al país?",¿Crees que Colombia es atractivo para hacer investigación científica?,programa doctorantes padrinos,una forma de comenzar a vincular a los doctorantes que residen en el extranjero con el país podría ser la creación de un programa doctorantes padrinos donde se permita que cada doctorante colabore con un tema/proyecto de su área de conocimiento que le sirva a colombia  y así se pueda ayudar a aprovechar parte del conocimiento fugado. los temas/proyectos pueden ser propuestos por universidades o entidades públicas. si alguno de los proyectos logra ser exitoso se da un reconocimiento económico o en especie al doctorante.,3
664,Dayedza,Bogotá,Bogota D.C.,Colombia, ¿Cómo podemos promover la educación inclusiva en nuestro país?, ¿Cómo podemos promover la educación inclusiva en nuestro país?,docente especializado en educación especial en cada ie.,"obligatorio para hablar de inclusión, la presencia permanente de un docente de educación especial en cada ie, que su labor esté dedicada a todos los procesos de inclusión y acompañamiento, capacitación y asesoría a docentes e intervención y atención a la niñez con otras capacidades o nee, con un kit completo de materiales, programas y guías en diferentes áreas para cada niño según su dificultad, esto, no sólo en municipios certificados, porque no sería incluyente. gracias.",3
673,Diana Bermúdez,Medellín,Antioquia,Colombia,"¿Cómo acercar a las personas a la literatura, el cine, la música y el arte?","¿Cómo acercar a las personas a la literatura, el cine, la música y el arte?",inclusión a la lectura,"en colombia algunas de las personas que carecen de un buen desarrollo cultural más que por falta de interés, es debido al difícil acceso a medios como literatura, el cine, etc. por lo tanto mi propuesta se basa en poder facilitar a aquellas personas de bajos recursos la participación en este tipo de actividades. existe una herramienta que se podría aprovechar para el desarrollo de esta idea, es el servicio social obligatorio para los estudiantes de grado undécimo, estos jóvenes pueden completar sus horas desplazándose a los lugares menos favorecidos y allí realizar actividades como lectura y proyección de películas para fomentar el gusto por estas actividades mayormente en niños y jóvenes.",3
681,Diana Naspiran,Pasto,Narino,Colombia,"¿Cómo protegemos a los niños de violencia, abuso y explotación?","¿Cómo protegemos a los niños de violencia, abuso y explotación?",los niños son el presente y futuro de una mejor colombia,"es importante tener claro la importancia que tienen los niños en nuestro país, ya que ellos son nuestro presente y aun mas importante son nuestro futuro, con esto se debe recalcar las situaciones por las cuales están pasando y  pasan de una forma desapercibida ante el gobierno.
como primer punto hacer un llamado de advertencia ante las autoridades por que debido a esto, los violadores y agresores de niños no reciben el castigo que se merecen, para estos personajes debe haber cadena perpetua y como segundo punto el estado de desnutrición que existe en la guajira, el gobierno en ves de invertir dinero en armas para la guerra lo debería hacer para brindar un mejor bienestar para ellos.",3
691,Diego Cardenas,Bogotá,Bogota D.C.,Colombia,¿Qué incentivos darías para que los desechos sean aprovechados por las empresas?,¿Crees que hay una cultura consolidada de sostenibilidad en las empresas?,simbiosis industrial con networking,"el incentivo está en la cofinanciacion de proyectos de simbiosis industriales con los pequeñas y medianas empresas que permitan crear condiciones donde se beneficien varios tipos de industrias de los recursos que salen de cada sistema de produccion.
para esto se necesita networking (sin otro interés que salir del subdesarrollo industrial en extraer y extraer recursos a razón de que es más barato), abordar la cultura organizacional, enfoques que permitan desarrollar este tipo de iniciativas, información de desechos de procesos y subprocesos, concientizar sobre los retos en el futuro inmediato.",3
708,Digoyo,Bogotá,Bogota D.C.,Colombia,¿Qué medidas tomarías para mejorar la seguridad en tu barrio?,¿Has sido victima de algún asalto en lo corrido del año?,restriccion de movilidad de las motos,propongo que se restringa la movilidad de las motos entre las 6:00 p.m y las 6.00 a:m esto contribuiria a la seguridad,3
727,Drsapg,Medellín,Antioquia,Colombia,¿Cuál es tu propuesta para mejorar la educación en Colombia?,¿Cuál es tu propuesta para mejorar la educación en Colombia?,elevar a la educación a derecho fundamental desde primaria hasta educación super,la propuesta es muy simple: tramitar una ley estatutaria que modifique la constitución elevando a la educación en todos sus niveles a derecho fundamental. esto garantizará la obligación del estado social de derecho a mantener la alta calidad y el cumplimiento de este derecho,3
733,Eacapi,Bogotá,Bogota D.C.,Colombia,¿Qué procesos consideras importante agilizar a través de la tecnología?,¿Qué procesos consideras importante agilizar a través de la tecnología?,legalización de plataformas de transporte privado,"legalizar plataformas de transporte privado, creando esa categoría de transporte la cual hoy es inexistente, deben cumplir con pólizas colectivas de responsabilidad civil contractual y extracontractual, deben garantizar pago de seguridad social de conductores y aportar un porcentaje a la ciudad el cual se de en beneficio al transporte público",3
747,Eduardo Santiago Santiago Navarro,Valledupar,Cesar,Colombia,"¿Cómo protegemos a los niños de violencia, abuso y explotación?","¿Cómo protegemos a los niños de violencia, abuso y explotación?",creacion de una publicida que informe la proteccion de los niños,el inpacto que tendria una publicida a nivel nacional que nos enseñe a proteger a nustros niños y a que los delincuentes no se acerquen a ellos,3
753,Edwardr679,Santiago de Cali,Valle del Cauca,Colombia,"Además de dinero, ¿Cómo motivarías a que más doctorantes vuelvan al país?",¿Crees que Colombia es atractivo para hacer investigación científica?,formación de doctores en colombia,"hoy en día estudiar un doctorado en colombia es tarea titánica, las restricciones que se presentan son únicas en comparación a países europeos y eeuu, los requisitos de ingreso son monumentales, el costo es  400% mas alto que en el extranjero, los cupos asignados por el men son escasos, y una convalidación del exterior es casi imposible, todo se facilita con aumento de cupos, bajos costos, flexibilidad en los requisitos",3
773,Elkin Marquez,Bogotá,no hay registro,Colombia,¿Cómo evitarías que los niños falten a clases en sus colegios?,¿Cómo evitarías que los niños falten a clases en sus colegios?,disminuyendo la deserción a traves del emprendimiento,"entendiendo el emprendimiento como ""una forma de pensar, razonar y actuar centrada en las oportunidades... "", esta propuesta consiste en estimular los diferentes tipos de emprendimiento (científico, tecnológico, ambiental, deportivo, cultural, social y empresarial) en los diferentes escenarios  educativos (académicos, sociales o ambientales). se trata de complementar la ejecución de la guía 39 del emprendimiento del men, a través del desarrollo de encuentros regionales de experiencias en emprendimiento escolar desarrollado en etapas y por categorías hasta llegar a una feria nacional del emprendimiento escolar. se premiaría con becas fruto de una bolsa entre la empresa privada y el estado.",3
774,Elkin Morales Mejía,Bucaramanga,Santander,Colombia,¿Cómo crees que la tecnología puede ayudar a las pymes a mejorar sus procesos?,¿Hay suficientes incentivos para la creación de empresas en Colombia?,entrenamientos elite para lideres en la revolución 4.0,"fomentando espacios de capacitación, aprendizaje e interacción para empresarios pymes y nuevos emprendedores, ya que por estudios e investigaciones realizadas el 95% de los pymes y emprendedores no saben ni conocen la revolución 4.0; se  trabajaran a fondo las siguientes temáticas:
introducción a la revolución 4.0
marketing digital
big data y normatividad de la misma
data science
desing thinking
neuromarketing
soft skills
manejo de la información
formula i+d+i
iot: internet de las cosas.
realidad virtual
sistemas embebidos.
se impactarán 100.000 personas entrenadas para competir y emprender en la revolución 4.0 creando la red: real entrepreneur discovered a nivel nacional e internacional.",3
790,Enzo Fiorillo Palacio,Bogotá,no hay registro,Colombia,¿Cómo podemos desarrollar el talento a temprana edad?,¿Cómo podemos desarrollar el talento a temprana edad?,educación diferencial parte 1,"esta propuesta consta de dos partes. una se desarrolla en la infancia del niño y en su hogar, la otra en su educación secundaria y universitaria.
es bien conocido que la mayoría de la inclinación de o niños y adolescentes se inicia en su hogar o ambiente donde viva.
así en un hogar donde su padre o madre o ambos practiquen la música seguro alguno de sus hijos sentirá una tendencia a seguir lo mismo y generalmente son los padres sus primeros maestros. esto también aplica si la familia maneja un negocio o alguna actividad que se destaque.
se debería incentivar las actividades culturales, técnicas y manuales en los hogares.",3
814,Esther Maria Vega Pachon,Barranquilla,Atlántico,Colombia,¿Cómo ayudarías a mejorar la atención médica en tu región?,¿Cómo ayudarías a mejorar la atención médica en tu región?,propuesta anticorrupcion para habilitación y contratacion,"vigilancia , control y sancion a secretarias de vigilancia y control que cobren coimas o sobornos millonarios a prestadores de salud o ips ,  para favorecer su proceso de habilitación y registro de prestadores  o por el contrario obstaculizar el derecho al trabajo asi cumplan . o vigilancia a carteles de contratacion en proyectos .",3
824,Ezequiel Hernández Soto,Medellín,Antioquia,Colombia,¿Cómo fortalecerías el uso de la educación virtual en nuestro país?,¿Cómo fortalecerías el uso de la educación virtual en nuestro país?,llevar la educaciion virtual a todos los corregimientos del pais,"dotar a todos los corregimientos del país de señal gratis de wifi en los salones comunales o kioskos digitales , obligar a todas universidades del país publicas y privadas a que lleven estos programas gratis a las zonas rurales y ofrezcan programas de acuerdo a la vocación económica y necesidades de la zona , estos estudiantes deben ser preferiblemente de la población vulnerable estrato1 y 2 , no podemos seguir obligando a que toda persona de la zona rural tenga que desplazarse a las áreas urbanas para estudiar en una universidad. trabajo en equipo para sena , mintic , los municipios y las universidades.",3
859,Feres H Acevedo,Medellín,Antioquia,Colombia,Desarrolla una idea que ayude a los habitantes de tu barrio a ahorrar agua,¿Ahorras agua en tu casa?,manejo y uso eficiente del agua,de la misma manera que se implementan todas las propuestas que se deseen tengan buenos frutos; iniciar por educar a los niños en sus escuelas y colegios. este tema del agua es también el tema de ahorro y uso eficiente de la energía. son todas las actividades que se enseñan a los niños y jóvenes y que luego con tareas elementales se transmite a los hogares. alguna vez siendo empleado de una empresa de muy buen nombre (coordinador ambiental) detectamos que los niños son los mejores educadores con este tema tan importante hoy en día como lo es el medio ambiente; extendimos a algunas escuelas cercanas temas y ejercicios de interés los cuales fueron absorbidos en charlas básicas.,3
873,Fjpc19,Medellín,Antioquia,Colombia,¿Qué medidas tomarías para mejorar la seguridad en tu barrio?,¿Has sido victima de algún asalto en lo corrido del año?,"privatizar la policía, la justicia y las cárceles","hoy vemos reclusos improductivos, una justicia paquidérmica y una policía inepta. por ello, creo conveniente que se privaticen estos servicios. las cárceles en manos de empresarios pueden convertirse en fábricas manofactureras y agrícolas productivas, la seguridad con una buena administración podría ser eficiente y la justicia podría fallar para casos menores y reincidencia. importante que haya una secretaría de ddhh encargada de vigilar estas empresas privadas.",3
876,Fjpc19,Medellín,Antioquia,Colombia,"Además de dinero, ¿Cómo motivarías a que más doctorantes vuelvan al país?",¿Crees que Colombia es atractivo para hacer investigación científica?,profundizar el teletrabajo y privatizar todas las universidades estatales,"la educación cuesta y una persona que puede ganar más de 100 mil dólares al año en otro país, no volvería al nuestro a trabajar por menos de 50 mil y con pocos recursos. si privatizamos todas las universidades estatales, y enfocamos la inversión en educación en ayudar a las universidades privadas para montar laboratorios, atraeríamos más investigadores. es mejor financiar la demanda para estudiantes y la oferta para investigadores.",3
901,Fundacion Campeones,Bogotá,Bogota D.C.,Colombia,Crea una estrategia para invitar a los jóvenes a los centros SACUDETE,Crea una estrategia para invitar a los jóvenes a los centros SACUDETE,festival de liderazgo juvenil sacúdete- fundación campeones,"organizar un festival de liderazgo juvenil por municipios donde se realice un lanzamiento creativo y de impacto de los centros sacúdete,  y los jóvenes participen a través de acción, reto y diversión en actividades culturales, muestras de  talentos,  emprendimiento,  tips de  hábitos de vida saludable, y muestras de  tecnología,   a través de las cuales se identifiquen las bondades de los sacúdete.  para ello, se desarrollará un desafío de campeones con diferentes bases, donde a través de retos experienciales outdoor training, los jóvenes aprendan el valor que tendrán dichos espacios de participación a futuro y fortalezcan habilidades para la vida.",3
908,Gabriel Antonio Avendaño Jaimes,Bogotá,no hay registro,Colombia,Plantea una propuesta para mejorar la calidad en el sistema de salud,Plantea una propuesta para mejorar la calidad en el sistema de salud,los derechos constitucionales priman sobre los derechos privados,"el articulo 49 de nuestra constitución consagra que la atención de la salud y el saneamiento ambiental son servicios públicos a cargo del estado por lo tanto ya es hora de iniciar una verdadera revolución de la salud ya que la meta es la un salud duradera, porque el plan no funciono hay que cambiar el plan y proyectar una verdadera política publica de salud, pues las comunidades están en mora de instaurar una acción para solicitar la indemnización por parte del estado ante la inoperáncia del sistema de salud colombiano planteado a traves de la ley 100 de 1994, por la falta de vigilancia estatal por parte del ejecutivo y del libre albedrio de los administradores de la salud",3
910,Gabriel Eduardo Niño,Ibague,Tolima,Colombia,¿Cómo la tecnología ayuda a los campesinos a sacarle provecho a sus cultivos?,Utiliza la tecnología para ayudar a los campesinos a saber cómo sacarle provecho a sus cultivos,aprobechar las tierras  expropiadas," ejemplo a carranza le expropiaron 17000 hectareas   : que hacer ,
: desarrolar coopertivas agricolas  de 300 hectareas para 300 familias  y la tierra sigue siendo del estado por un determinado # de años  para producir productos de exportacion  , tenemos  unos organismos min agricultura planeacion nal , y dancoop , donde no se ve nada de resultados  ( solo termitas ) ,   y dejar unas 200 0 hectareas para desarrollar  unas carceles de trabajo agrario , y resocializacion  ,   esta es tecnologia blanda  
0
00",3
915,Gabrielmartinez,Medellín,Antioquia,Colombia,¿Cómo podemos desarrollar el talento a temprana edad?,¿Cómo podemos desarrollar el talento a temprana edad?,llegarla al alma de  la juventud,"es muy fácil pero requiere esfuerzo trabajo y recursos, pero será una victoria y un triunfo en la nueva colombia, se los prometo... yo juan gabriel martinez ochoa.
perdón por ese énfasis; mira, somos energía somos creaciones hermosas del cosmos, siempre buscando la plenitud en lo que hacemos, pero hay otras fuerzas en sentido contrario que hacen su trabajo también.
solo es tocar cada almita en busca de su felicidad y ayudarlo para que de lo mejor de si,  y ya,
lograr de este mundo, que sea mas bacano.",3
916,Gary Correa Holguín,Bogotá,Bogota D.C.,Colombia,¿Cómo mejorarías las alertas tempranas para prevención de desastres ambientales?,¿Crees que los programas de prevención realmente funcionan?,"arca: análisis del riesgo, capacitación y atención. colombia","objetivo general: fomentar el pensamiento analítico y la competencia en educación, comunicación y capacitación, a la comunidad nacional y migrante venezolana ante un eventual desastre a causa de un fenómeno natural y se llevara a cabo en tres etapas. fase i, fase ii y fase iii.
objetivos específicos: fase i modificar el calendario establecido del simulacro nacional de emergencias, a partir del año 2019 en adelante, día planteado 31 de marzo. motivo: conmemorar y rendir homenaje a las victimas fatales, de dos grandes tragedias a causa de los fenómenos naturales, el terremoto de popayán (1983) y la avenida torrencial de mocoa (2017). utilizando los medios de comunicación llegara a mas colombia",3
917,Gecm,Santiago de Cali,Valle del Cauca,Colombia,¿Cómo podrían las entidades públicas innovar para mejorar procesos y servicios?,"¿Cómo podrían las entidades públicas innovar para mejorar procesos, servicios y políticas públicas?",habilidades blandas + ciudadania y gobierno digital,"el cumplimiento de los ods 2030 es imperante, se hace necesario pensar en propuestas que no sean de 4 años o tradicionales, para lograr mayor eficiencia es necesario visualizar el futuro y para ello hay que salir de la zona de comfort , tradicionalismos y encarar el futuro de forma consicente. la raza humana de cara al presente -futuro debe aprovechar su factor diferenciador frente a las máquinas (robots) para seguir estando activo en el mercado laboral. es allí donde la fortaleza en formación de habilidades digitales como ciudadanos es base para innovar e incrementar la productividad. mínimamente cualquier funcionario público sin distingo de cargo debe estar certificado en dicha formación.",3
927,Gerardo Quintero,Medellín,Antioquia,Colombia,Formula una alternativa para atender a los migrantes que están llegando al país,Formula una alternativa para atender a los migrantes que están llegando al país,establecer un nuevo diseño curricular en la formación ciudadana de venezolanos,"establecer programa nacional de formacion ciudadana para venezolanos en la sociedad colombiana, a traves del sistema educativo  en todos los niveles y modalidades.",3
932,German Osorio,Medellín,Antioquia,Colombia,¿Con qué criterios definirías la prioridad de las vías terciarias a intervenir?,¿Crees que las grandes obras de infraestructura deben igualmente intervenir las vías secundarias y terciarias?,criterios sociales y económicos para vias terciarias,"priorizar los siguientes criterios: compromiso comunitario de aportar,  conexión interveredal, importancia productiva, menos impacto ambiental",3
